id,name,one_liner,status,parent_id,mechanism_hash,parameter_hash,cause_of_death,date,verdict_hash,batch_id,chain_hash
H-001,H-001,fade Z>=2 SMA20 Asia 22-07 EURUSD H1,LIVE,PRE-FACTORY,778b2876a013b39f21b1f40a97c79e36654d56ded5427a4ca5ecaa5e9097b8ee,fc54306ab51eca52781546b78aace8b5505a12f05605abc49b14f4aa92b76563,PRE-FACTORY,2026-09-08,N/A (LIVE),N/A,8d60c63ab8b3e78f27a013585f13b5ebfb1d224264e763c33f9a256c16b97d9b
H-003,H-003,fade Z>=2 SMA20 Asia 22-07 GBPUSD H1,MECHANISM-DEAD (scoped to GBPUSD),H-001,778b2876a013b39f21b1f40a97c79e36654d56ded5427a4ca5ecaa5e9097b8ee,4144e00ff8c6af71b942cb4417450e06ba6b3ee61a367464aa31e0af1ad3336c,OOS KILL: PF=0.834950 (<1.0 hard kill). EURUSD instantiation remains LIVE (H-001 paper phase).,2026-09-09,4eeb4b28a58aacbc9301f552ec55842eac446f935369988092d3e0e6b7a4380f,BATCH-001,d88f12a2c26b1b68880a6fe03495cfcdea64da2e0cc3997df1ff9fbd66fe9d3c
H-002,H-002,ESCAPE: ride closes >=2.5SD Asia,MECHANISM-DEAD,,da5e2639ba3e7fbd591978c181cf00cc3076ba8323ec6b23c697af8ccd35fa7d,019a481d5e9c74b8fb301b4658846b54ebfa27995118e03817c10113c54560a6,"PF 0.20, WR 14.5%, 85% reversal, diagnostic inversion of live H-001. Re-test forbidden absent owner override + new evidence.",2026-09-08,cee44753f99f8210119a9e1fb24d115f603d29cc73d09a9f57263b2096dd0dad,BATCH-001,bb7ba270e9dbf092270efd9a9c00e6dae1122b81a449b56ccb080caf85098d81
H-002-v1,H-002-v1,4H trend London,UNTESTED,,N/A,N/A,tombstoned pre-backtest,2026-09-08,N/A,N/A,dccef2f1ba67579a7d70f309a8d952e69e55f620e78211aed6866a7b1a92fbb6
Edge-Labs,Edge-Labs,legacy scalper,LEGACY-RETIRED,,N/A,N/A,pre-machine no records,2026-09-08,N/A,N/A,92bb14b39e6160d1677f64eb4687dd51eba3d4b15a86199111d73c2804ddb872
Invincible,Invincible,legacy breakout,LEGACY-RETIRED,,N/A,N/A,pre-machine no records,2026-09-08,N/A,N/A,bd8de6d0c2b5b89f415fa7f1076caa94677b0e14edc756e5670de385f0ea4ba6
scratch_bot,scratch_bot,M5 breakout stalling-exit,LEGACY-RETIRED,,N/A,N/A,PRE-BASELINE 98 trades old account,2026-09-08,N/A,N/A,4c51b4ebffe6fe64abc35ead14567cb4c49d11e85e7a7ca4e468ee1128a30d8f
N01,N01_inverted,Inverted entry (continuation with inverted exit),KILL,,f80051a8b85f9e6e,b8d0a4e5d3327470,IS KILL: noise kernel,2026-09-13,a0a61a63e3e3bca0880227c14e3886dfd6dc105100b15370ed667813da3fe5f4,B-000,27b9d0e4596d29984e6433dec43f81e4f83ad4cc81741a3233adf6b3e156528e
N02,N02_random_entry,Random entry every 10th bar,KILL,,2110e7a74e6774cf,e5a1565bfb7acd5b,IS KILL: noise kernel,2026-09-13,f2d29a1e1aeeb55be6126ea15ab05f71ececf937506c2e84ef3e76266569f335,B-000,0a922ce00270b43eac31d22ad5ecc5449599e8447c071e89d5f27c08f9ab755f
N05,N05_mean_avoidance,Enters only when |Z|<0.5,KILL,,11da2f156411f5a1,b20492b274885b85,IS KILL: noise kernel,2026-09-13,bed60ac69d76e3efd9fb8f90b39cc5b93a1711fb0a5bc219f1c0ab0efa8bf172,B-000,e7110952be3175213991255007fc6e61c6e5efd88060b6e52a4af58d4d068271
N06,N06_lag_entry,Enters 3 bars AFTER signal (stale edge),KILL,,d10945421ba4fa4b,44af2003976684e9,IS KILL: noise kernel,2026-09-13,4cfe59ecbbee8c09415554a18b9576f07e3da121844d1b725f700c80ddf4bc42,B-000,e61d65fbf6aaebf417139f3783537f8a56a7a95ca109e5908d4335f880a45ed4
N07,N07_opposite_session,Trades London/NY only,KILL,,a2330a2bd5eaeb83,12d2f3035b99ec9e,IS KILL: noise kernel,2026-09-13,7700f7e1de4e729250ef994b5096fd022d91ba642d5112d0e66cfdfad0d3b2ff,B-000,4a47566db40a3b0acdedf7c53b1d897ce1af2df439423d9be746fbbcf4c72ff2
N10,N10_always_long,Always LONG on every Asian bar,KILL,,90d886b2acd1e3a2,7567109708debbb1,IS KILL: noise kernel,2026-09-13,03699230cab82507c146ab7fe447aaad37ff071441c8e2a4510d13446c8357ba,B-000,aa4fd87c641570dce8c69622577b8af2315d0c2f0c8f4de61599b1de72dca001
N03,N03_shuffled_returns,Shuffled close prices (destroyed time-series),KILL,,126e8cdd506ea091,68bb78d1d6daca6f,OOS KILL: noise kernel,2026-09-13,3a324d3e8957704a376fa91fe6b80fa948dab2784b0f933c55a38eed0f09e487,B-000,219acd25356205bef8d11a8bb9551423ae7dd103abf6716cdd020907dab2e0d6
N04,N04_fixed_stop,Fixed random pip SL/TP,KILL,,737399c0885a66c9,021755f42ef3a5f9,OOS KILL: noise kernel,2026-09-13,0a3f60903e46453ed0ae6afd004722ae77ad0422056ea48a6e69c1878770c70e,B-000,2a405ea17a45ad99d1d43849de7a20b513f657ac6b61dc46b6192c84aef085dc
N08,N08_random_stop,Random SD multiplier for stop,KILL,,c1bf4f2586aa6c23,544742aa11ae08fb,OOS KILL: noise kernel,2026-09-13,33bc05e539b1108b3c80e3cf7371e2a256f5b2010d6e1bab2fc349ea7f43a437,B-000,5dcb670a69462123bb013eb5f2a7733ca36506f0d54461c48b5541801f916b5b
N09,N09_half_sized,Exit at 0.5 SD instead of 1.0 SD,KILL,,f5337d26d66106d3,08f9ad7a2b82350c,OOS KILL: noise kernel,2026-09-13,8c87ca9ca6d9f44ca5b1f930e58479bb73c8011e8ebad5805fe8e3d70ca914e4,B-000,85ada0c406140f659695aa5df35edeca1b7cc5fea80fce127541b551f21b2f94
S-001,S001_liquidity_sweep,"Liquidity sweep fade: fractal level sweep, fade back to range",KILL,,d288defb4b221a70,d9669718393fb4cb,MECHANISM-DEAD,2026-09-13,b3a28153b94159d012ebd4df6abb89111f5f4d7788de9903b014c0560eb20beb,B-001,71a5c9c973e3734a105a7217c85812110bc0024268d8e8ef49f6434376aa52f5
S-002,S002_choch,Change-of-Character reversal: first close beyond swing extreme,KILL,,7a7be32879cf5e97,c760010a992d2364,MECHANISM-DEAD,2026-09-13,a679bfd6991904ac5053826c3b5ce2ef0d52f63997f6d2d8dc619b2f5d3d8a2b,B-001,35058f216173a1f78278d30dedbb01f40f0d9e3af86cc2395ebc90b1ef0442d2
S-004,S004_goldzone,Gold-zone retracement fade: fade back to leg origin,KILL,,5b726260a94780f9,b836ed9a8261c70a,MECHANISM-DEAD,2026-09-13,239fb028053a560fc758d8229946a76d951161dabfa3412581acd787e7c2c89e,B-001,cd2727e5de77fa3277ef3e475bf5d9bc80383420e1f8b19c3d5c112c6c86725e
S-005,S005_invalidation_flip,Invalidation flip: close beyond structure extreme,KILL,,c6807ea1c6fc7d5e,d948a473eb38443b,MECHANISM-DEAD,2026-09-13,b54e5ee649c10d185abf66ac80b0e7714b8fe1f3ce22455dd0a61db9fdb2841e,B-001,a5288be779250a82f7670fb8bfa725b317f3f32af9ced1a2bbba276612436ebc
S-008,S008_volcompression,Volatility compression breakout: balance -> imbalance,KILL,,2abef8ff2b1cbc8e,bb72f4d7585657dd,MECHANISM-DEAD,2026-09-13,fb2e0e7a9c465ac858636be75f29a9980f9378edde497e94f0e5741ba4162900,B-001,c5ef1d7cdb526f7175852d8d3950e65d0c3d85133f215091c1007414967787d5
S-010,S010_banklevel_fx,Bank-Level FX Arm: Asian range breakout,KILL,,2361163be9ee1947,24be2ad61b343a91,MECHANISM-DEAD,2026-09-13,9320c60d16b09602cbe8f99e07ae6a535286d88675341fa9b1acd97e63e00568,B-002,631feb2655294071a21213177dfba3f9e30baaf6a9657cdb71051f8747aea036
S-012,S012_banklevel_crypto,"Bank-level crypto ORB 00:00-00:25 range, 00:30-01:25 window",KILL,,2814974ad67d8940,240ef07c3c101753,"MECHANISM-DEAD: IS n=736, netPF=0.5410, grossPF=0.9669, grossWR=43.07%",2026-09-14,fa3d2ee5b54c4905b98e278110bc0efc91ea05ad3b1a83d1c0a61462010bce98,B-003,5118536512d623f03a67c8be97487a19a97a42dc394d08909b2d39262546f7c7
S-006,S006_ema_trendfilter,EMA50/200 regime pullback re-cross EURUSD H1,KILL,,a10a4373795baab6,38776b84b604a4b1,"MECHANISM-DEAD: IS n=399, netPF=0.9098, grossPF=0.9417, grossWR=31.83%",2026-09-14,4af0dc1fe9e64f571e677079b172fdc2eb834498f48f7074381ae2ac50bfd928,B-004,cf7fd62f51638d62e6650ac57483256d1ef503ad3a9e549b2bba72262c605b53
S-007,S007_regression_stoch,"RegChan 2sd fade + stoch(14,3,3) EURUSD H1",KILL,,4f233cf9cf570d0d,ec02858ad8560501,"MECHANISM-DEAD: IS n=182, netPF=0.9786, grossPF=1.0153, grossWR=35.71%",2026-09-14,67c4b8242d2c89027eaba205e88b0a2f3aece2382daa3e1ab34d27ea856c6b7b,B-004,1358423663712cde8674448b7a00319b49dbe6b351ebb668a26d1b627ddb8fa1
S-014,S014_funding_fade,"FRMR: F>=+0.05% SHORT, F<=-0.05% LONG, fixed 8h, taker+funding",KILL,,d6f619ead11c01bb,afe5a6303970416e,"MECHANISM-DEAD: funding carry real but insufficient at threshold (price+funding PF=1.0758, net PF=0.9668 after 0.10% round-trip fees)",2026-09-22,f374ee2127fb4468fe3179d4dce9936a47bd6f30d7f9b7993339b7b531ad0b85,FRMR-1,4e0ef136b81fe157b8320768c896f0429ee553b15397c3f0547d0f336db53158
S-015,S015_gap_fade,"Fade EURUSD overnight gaps: open<prev_close→LONG, open>prev_close→SHORT, ATR stop, target prev close",KILL,,c536fd81f7ce53e9,ace65f2c2e85949c,"MECHANISM-DEAD: n=473, WR=19.2%, net PF=0.3015. Gaps fill but stops are too large relative to gains.",2026-09-22,4665ad02bc5d6295c04ecb69feb18fb8e7eb0a2fe1ae2a113a0f25d0637acc2f,GAP-1,46b93dd3eba7e57a3b6b1995b74f04c3479e3a9622bce91395d68434a97bf035
