idx,entry_time,exit_time,side,entry_price,exit_price,pips_gross,pips_net,exit_reason,bars_held
1,2021-01-11 00:00,2021-01-11 06:00,LONG,1.21869,1.21899,3.0,2.5,REVERT,7
2,2021-01-12 22:00,2021-01-13 04:00,SHORT,1.22064,1.22085,-2.1,-2.6,REVERT,7
3,2021-01-19 02:00,2021-01-19 07:00,SHORT,1.20932,1.21055,-12.3,-12.8,STOP,6
4,2021-01-25 06:00,2021-01-25 08:00,SHORT,1.21805,1.21731,7.4,6.9,REVERT,3
5,2021-02-09 03:00,2021-02-09 09:00,SHORT,1.20797,1.20989,-19.2,-19.7,STOP,7
6,2021-02-16 02:00,2021-02-16 03:00,SHORT,1.21427,1.21492,-6.5,-7.0,STOP,2
7,2021-02-16 04:00,2021-02-16 04:00,SHORT,1.21464,1.21395,6.9,6.4,REVERT,1
8,2021-03-02 03:00,2021-03-02 07:00,LONG,1.20211,1.20056,-15.5,-16.0,STOP,5
9,2021-03-16 05:00,2021-03-16 06:00,SHORT,1.19375,1.19294,8.1,7.6,REVERT,2
10,2021-03-17 22:00,2021-03-18 01:00,SHORT,1.19800,1.19690,11.0,10.5,REVERT,4
11,2021-04-05 06:00,2021-04-05 10:00,LONG,1.17494,1.17398,-9.6,-10.1,STOP,5
12,2021-04-13 05:00,2021-04-13 07:00,LONG,1.18874,1.19036,16.2,15.7,REVERT,3
13,2021-04-16 03:00,2021-04-16 04:00,LONG,1.19511,1.19632,12.1,11.6,REVERT,2
14,2021-04-19 01:00,2021-04-19 01:00,LONG,1.19614,1.19509,-10.5,-11.0,STOP,1
15,2021-04-19 02:00,2021-04-19 05:00,LONG,1.19441,1.19666,22.5,22.0,REVERT,4
16,2021-04-20 03:00,2021-04-20 03:00,SHORT,1.20546,1.20669,-12.3,-12.8,STOP,1
17,2021-04-20 04:00,2021-04-20 09:00,SHORT,1.20666,1.20578,8.8,8.3,REVERT,6
18,2021-04-27 03:00,2021-04-27 05:00,LONG,1.20655,1.20754,9.9,9.4,REVERT,3
19,2021-05-10 22:00,2021-05-11 02:00,LONG,1.21314,1.21452,13.8,13.3,REVERT,5
