entry_time,side,entry_price,exit_price,exit_reason,pips,bars_held
2021-01-10 23:00:00,SHORT,1.21870,1.21899,REVERT,-3.4,8
2021-01-19 01:00:00,LONG,1.20932,1.21246,REVERT,30.9,16
2021-01-25 05:00:00,LONG,1.21806,1.21722,STOP,-8.9,3
2021-02-09 02:00:00,LONG,1.20796,1.20912,REVERT,11.1,13
2021-02-16 01:00:00,LONG,1.21426,1.21349,STOP,-8.2,1
2021-02-16 02:00:00,LONG,1.21454,1.21395,REVERT,-6.4,3
2021-03-02 04:00:00,SHORT,1.20207,1.20236,REVERT,-3.4,7
2021-03-08 06:00:00,SHORT,1.18922,1.19120,STOP,-20.3,1
2021-03-16 04:00:00,LONG,1.19377,1.19287,STOP,-9.5,3
2021-03-30 06:00:00,SHORT,1.17471,1.17611,STOP,-14.5,1
2021-04-05 05:00:00,SHORT,1.17492,1.17493,REVERT,-0.6,6
2021-04-13 06:00:00,SHORT,1.18841,1.19000,STOP,-16.4,1
2021-04-16 02:00:00,SHORT,1.19510,1.19632,REVERT,-12.7,3
2021-04-19 01:00:00,SHORT,1.19440,1.19614,STOP,-17.9,1
2021-04-20 03:00:00,LONG,1.20666,1.20502,STOP,-16.9,4
2021-04-28 06:00:00,SHORT,1.20593,1.20715,STOP,-12.7,1
2021-05-05 06:00:00,SHORT,1.19996,1.20120,STOP,-12.9,1
2021-05-12 03:00:00,SHORT,1.21168,1.21315,REVERT,-15.2,4
2021-05-14 06:00:00,LONG,1.21071,1.21397,REVERT,32.1,16
2021-05-18 06:00:00,LONG,1.21833,1.21667,STOP,-17.1,1
2021-05-19 05:00:00,LONG,1.22392,1.22250,STOP,-14.7,3
2021-05-25 06:00:00,LONG,1.22458,1.22236,STOP,-22.7,1
2021-06-11 02:00:00,LONG,1.21897,1.21834,REVERT,-6.8,5
2021-06-15 06:00:00,LONG,1.21309,1.21254,STOP,-6.0,1
2021-07-06 05:00:00,LONG,1.18826,1.18726,STOP,-10.5,3
2021-08-11 06:00:00,SHORT,1.17094,1.17172,STOP,-8.3,1
2021-08-17 06:00:00,SHORT,1.17612,1.17703,STOP,-9.6,1
2021-08-19 00:00:00,SHORT,1.16871,1.17027,STOP,-16.1,1
2021-08-19 01:00:00,SHORT,1.16842,1.16826,REVERT,1.1,7
2021-08-31 03:00:00,LONG,1.18193,1.18078,STOP,-12.0,1
2021-08-31 04:00:00,LONG,1.18172,1.18202,REVERT,2.5,10
2021-09-07 00:00:00,LONG,1.18793,1.18752,REVERT,-4.6,5
2021-09-13 06:00:00,SHORT,1.17794,1.17999,REVERT,-21.0,8
2021-09-16 06:00:00,SHORT,1.17917,1.18040,STOP,-12.8,1
2021-09-28 06:00:00,SHORT,1.16762,1.16986,STOP,-22.9,1
2021-10-05 04:00:00,SHORT,1.15947,1.16032,REVERT,-9.0,6
2021-10-06 04:00:00,SHORT,1.15845,1.15512,REVERT,32.8,14
2021-10-07 06:00:00,LONG,1.15682,1.15493,STOP,-19.4,1
2021-10-08 04:00:00,SHORT,1.15481,1.15550,STOP,-7.4,5
2021-10-11 06:00:00,LONG,1.15829,1.15735,STOP,-9.9,1
2021-10-18 00:00:00,SHORT,1.15840,1.15965,STOP,-13.0,1
2021-10-18 04:00:00,SHORT,1.15786,1.15929,STOP,-14.8,4
2021-10-19 02:00:00,LONG,1.16425,1.16457,REVERT,2.7,11
2021-10-25 03:00:00,LONG,1.16638,1.16487,STOP,-15.6,1
2021-10-25 04:00:00,LONG,1.16599,1.16451,STOP,-15.3,3
2021-11-15 01:00:00,LONG,1.14596,1.14458,STOP,-14.3,1
2021-11-15 02:00:00,LONG,1.14598,1.14498,STOP,-10.5,6
2021-11-18 02:00:00,LONG,1.13341,1.13251,REVERT,-9.5,3
2021-11-26 06:00:00,LONG,1.12314,1.13071,REVERT,75.2,16
2021-11-30 06:00:00,LONG,1.13226,1.12932,STOP,-29.9,10
2021-12-15 22:00:00,LONG,1.12926,1.12829,REVERT,-10.2,3
2022-01-20 01:00:00,LONG,1.13599,1.13505,REVERT,-9.9,4
2022-01-24 05:00:00,SHORT,1.13178,1.13299,STOP,-12.6,4
2022-02-17 03:00:00,SHORT,1.13366,1.13826,STOP,-46.5,1
2022-02-17 04:00:00,SHORT,1.13422,1.13654,STOP,-23.7,3
2022-02-24 00:00:00,SHORT,1.12760,1.11664,REVERT,109.1,18
2022-02-27 22:00:00,SHORT,1.11502,1.11894,REVERT,-39.7,10
2022-03-04 00:00:00,SHORT,1.10124,1.10656,STOP,-53.7,1
2022-03-22 00:00:00,SHORT,1.09865,1.10166,STOP,-30.6,1
2022-03-22 06:00:00,SHORT,1.09678,1.10075,STOP,-40.2,3
2022-03-25 01:00:00,LONG,1.10324,1.10089,STOP,-24.0,1
2022-03-25 02:00:00,LONG,1.10285,1.10231,REVERT,-5.9,6
2022-03-28 01:00:00,SHORT,1.09540,1.09904,STOP,-36.9,8
2022-04-17 22:00:00,LONG,1.08203,1.08080,STOP,-12.8,1
2022-04-18 03:00:00,SHORT,1.07928,1.08024,STOP,-10.1,1
2022-04-18 04:00:00,SHORT,1.07923,1.08005,REVERT,-8.7,7
2022-04-20 03:00:00,LONG,1.08186,1.08091,REVERT,-10.0,5
2022-04-21 06:00:00,LONG,1.09021,1.08468,STOP,-55.8,1
2022-04-25 06:00:00,SHORT,1.07142,1.07754,STOP,-61.7,1
2022-04-29 05:00:00,LONG,1.05371,1.05164,STOP,-21.2,1
2022-04-29 06:00:00,LONG,1.05436,1.05445,REVERT,0.4,6
2022-05-27 01:00:00,LONG,1.07624,1.07396,REVERT,-23.3,6
2022-06-15 05:00:00,LONG,1.04638,1.04266,STOP,-37.7,1
2022-06-15 06:00:00,LONG,1.04732,1.04582,REVERT,-15.5,6
2022-08-18 06:00:00,SHORT,1.01510,1.01683,STOP,-17.8,3
2022-08-26 06:00:00,SHORT,0.99510,0.99644,STOP,-13.9,1
2022-09-06 00:00:00,LONG,0.99681,0.99440,REVERT,-24.6,4
2022-09-09 00:00:00,LONG,1.00439,1.00093,STOP,-35.1,1
2022-09-09 01:00:00,LONG,1.00515,1.00737,REVERT,21.7,10
2022-09-12 06:00:00,LONG,1.01439,1.00913,STOP,-53.1,1
2022-09-21 06:00:00,SHORT,0.98974,0.99500,STOP,-53.1,1
2022-09-26 00:00:00,SHORT,0.95688,0.96854,STOP,-117.1,1
2022-10-11 04:00:00,SHORT,0.96771,0.96961,STOP,-19.5,3
2022-11-04 04:00:00,LONG,0.97861,0.97634,STOP,-23.2,4
2022-11-21 02:00:00,SHORT,1.02882,1.02542,REVERT,33.5,12
2022-11-28 01:00:00,SHORT,1.03481,1.03714,REVERT,-23.8,6
2022-12-26 05:00:00,LONG,1.06289,1.06187,STOP,-10.7,4
2022-12-26 23:00:00,LONG,1.06397,1.06308,STOP,-9.4,1
2022-12-27 00:00:00,LONG,1.06424,1.06399,REVERT,-3.0,4
2022-12-27 05:00:00,LONG,1.06553,1.06452,REVERT,-10.6,3
2023-01-16 01:00:00,LONG,1.08678,1.08383,STOP,-30.0,6
