entry_time,side,entry_price,exit_price,exit_reason,pips,bars_held
2024-01-04 00:00:00,SHORT,1.26727,1.26617,REVERT,10.0,2
2024-01-11 03:00:00,SHORT,1.27635,1.27618,REVERT,0.7,6
2024-01-16 01:00:00,LONG,1.26920,1.26727,STOP,-20.3,7
2024-01-17 06:00:00,LONG,1.26094,1.26561,REVERT,45.7,2
2024-01-22 03:00:00,SHORT,1.27169,1.27031,REVERT,12.8,5
2024-01-23 06:00:00,SHORT,1.27370,1.27311,REVERT,4.9,3
2024-02-22 01:00:00,SHORT,1.26456,1.26368,REVERT,7.8,3
2024-02-28 03:00:00,LONG,1.26705,1.26623,STOP,-9.2,3
2024-02-28 06:00:00,LONG,1.26591,1.26475,STOP,-12.6,2
2024-03-19 06:00:00,LONG,1.27084,1.26973,STOP,-12.1,2
2024-04-05 02:00:00,LONG,1.26266,1.26268,REVERT,-0.8,6
2024-04-19 02:00:00,LONG,1.24012,1.24191,REVERT,16.9,3
2024-04-29 05:00:00,SHORT,1.25421,1.25226,REVERT,18.5,2
2024-05-07 06:00:00,LONG,1.25399,1.25442,REVERT,3.3,6
2024-06-06 02:00:00,SHORT,1.28076,1.27983,REVERT,8.3,2
2024-07-01 02:00:00,SHORT,1.26584,1.26679,STOP,-10.5,5
2024-07-05 04:00:00,SHORT,1.27711,1.27789,STOP,-8.8,4
2024-07-24 03:00:00,LONG,1.28894,1.28951,REVERT,4.7,3
2024-07-29 01:00:00,SHORT,1.28847,1.28746,REVERT,9.1,4
2024-08-06 01:00:00,SHORT,1.28024,1.27828,REVERT,18.6,2
2024-09-03 04:00:00,LONG,1.31286,1.31205,STOP,-9.1,2
2024-09-03 06:00:00,LONG,1.31230,1.31121,STOP,-11.9,1
2024-09-16 04:00:00,SHORT,1.31597,1.31769,STOP,-18.2,5
2024-10-03 06:00:00,LONG,1.31828,1.31517,STOP,-32.1,2
2024-11-06 03:00:00,LONG,1.29060,1.28573,STOP,-49.7,4
2024-11-12 04:00:00,LONG,1.28410,1.28204,STOP,-21.6,3
2024-11-26 00:00:00,LONG,1.25317,1.25486,REVERT,15.9,4
2024-12-18 22:00:00,LONG,1.25725,1.25954,REVERT,21.9,5
2025-01-10 06:00:00,LONG,1.22756,1.22902,REVERT,13.6,2
2025-01-13 22:00:00,SHORT,1.21994,1.22347,STOP,-36.3,1
2025-01-13 23:00:00,SHORT,1.22347,1.22018,REVERT,31.9,4
2025-01-24 03:00:00,SHORT,1.23977,1.23864,REVERT,10.3,5
2025-01-29 05:00:00,SHORT,1.24526,1.24481,REVERT,3.5,3
2025-01-30 22:00:00,LONG,1.24123,1.24214,REVERT,8.1,5
2025-02-02 23:00:00,LONG,1.23006,1.22561,STOP,-45.5,5
2025-02-09 23:00:00,LONG,1.23771,1.23961,REVERT,18.0,5
2025-02-13 22:00:00,SHORT,1.25644,1.25579,REVERT,5.5,6
2025-02-18 23:00:00,SHORT,1.26330,1.26167,REVERT,15.3,2
2025-02-24 02:00:00,SHORT,1.26780,1.26647,REVERT,12.3,5
2025-03-21 04:00:00,LONG,1.29455,1.29349,STOP,-11.6,2
2025-03-21 06:00:00,LONG,1.29294,1.29435,REVERT,13.1,5
2025-03-27 05:00:00,SHORT,1.29205,1.29400,STOP,-20.5,7
2025-03-30 22:00:00,LONG,1.29283,1.29372,REVERT,7.9,2
2025-03-31 01:00:00,SHORT,1.29592,1.29709,STOP,-12.7,2
2025-04-03 00:00:00,SHORT,1.30453,1.30987,STOP,-54.4,6
2025-04-09 01:00:00,SHORT,1.28150,1.28399,STOP,-25.9,1
2025-04-09 02:00:00,SHORT,1.28307,1.28620,STOP,-32.3,5
2025-04-15 05:00:00,SHORT,1.32114,1.31963,REVERT,14.1,2
2025-04-16 04:00:00,SHORT,1.32638,1.32830,STOP,-20.2,2
2025-04-16 06:00:00,SHORT,1.32860,1.32682,REVERT,16.8,4
2025-04-20 23:00:00,SHORT,1.33035,1.33172,STOP,-14.7,1
2025-04-21 00:00:00,SHORT,1.33141,1.33320,STOP,-18.9,1
2025-04-21 01:00:00,SHORT,1.33462,1.33740,STOP,-28.8,2
2025-04-21 03:00:00,SHORT,1.33699,1.34133,STOP,-44.4,5
2025-04-22 06:00:00,SHORT,1.34173,1.33898,REVERT,26.5,1
2025-04-22 22:00:00,LONG,1.32895,1.32447,STOP,-45.8,1
2025-04-22 23:00:00,LONG,1.32543,1.33107,REVERT,55.4,3
2025-04-25 06:00:00,LONG,1.32774,1.33047,REVERT,26.3,1
2025-05-07 22:00:00,LONG,1.32934,1.33418,REVERT,47.4,4
